participantID,eventID,eventLabel,startTime,endTime,level
545d6768fdf99b7f9fca24e3,training,training,Tue Aug 27 2019 20:37:19 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:40:37 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,browse away,browse away,Tue Aug 27 2019 20:37:27 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:37:28 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,trials,trials,Tue Aug 27 2019 20:40:56 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:45:02 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 20:40:56 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:43:58 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,guided tour,guided tour,Tue Aug 27 2019 20:41:07 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:42:54 GMT-0400 (Eastern Daylight Time),2
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 20:43:58 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:45:02 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,second guided tour,second guided tour,Tue Aug 27 2019 20:44:03 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:44:35 GMT-0400 (Eastern Daylight Time),2
545d6768fdf99b7f9fca24e3,study,study,Tue Aug 27 2019 20:45:02 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 21:05:15 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 20:45:08 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:48:12 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 20:48:12 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:49:06 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 20:49:06 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:49:49 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 20:49:49 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:51:18 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 20:51:18 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:52:01 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 20:52:01 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:52:46 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 20:52:46 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:54:03 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 20:54:03 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:56:57 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,browse away,browse away,Tue Aug 27 2019 20:54:35 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:54:36 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,browse away,browse away,Tue Aug 27 2019 20:54:39 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:54:40 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 20:56:57 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:57:34 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 20:57:34 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:58:09 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 20:58:09 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:58:30 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 20:58:30 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 20:59:33 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 20:59:33 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 21:01:45 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 21:01:45 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 21:02:46 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 21:02:46 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 21:04:00 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,task,task,Tue Aug 27 2019 21:04:00 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 21:05:14 GMT-0400 (Eastern Daylight Time),1
545d6768fdf99b7f9fca24e3,feedback,feedback,Tue Aug 27 2019 21:05:15 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 21:05:36 GMT-0400 (Eastern Daylight Time),0
546e3c21fdf99b2b8df983fd,training,training,Tue Aug 27 2019 21:04:38 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 21:08:28 GMT-0400 (Eastern Daylight Time),0
546e3c21fdf99b2b8df983fd,browse away,browse away,Tue Aug 27 2019 21:05:33 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 21:07:12 GMT-0400 (Eastern Daylight Time),0
546e3c21fdf99b2b8df983fd,trials,trials,Tue Aug 27 2019 21:08:43 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 21:24:02 GMT-0400 (Eastern Daylight Time),0
546e3c21fdf99b2b8df983fd,task,task,Tue Aug 27 2019 21:08:43 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 21:23:35 GMT-0400 (Eastern Daylight Time),1
546e3c21fdf99b2b8df983fd,guided tour,guided tour,Tue Aug 27 2019 21:08:54 GMT-0400 (Eastern Daylight Time),Tue Aug 27 2019 21:14:07 GMT-0400 (Eastern Daylight Time),2
