participantID,eventID,eventLabel,time,level
545d6768fdf99b7f9fca24e3,signed consent form,signed consent form,Tue Aug 27 2019 20:37:19 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,searched for node,searched for node,Tue Aug 27 2019 20:41:21 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,cleared all selections,cleared all selections,Tue Aug 27 2019 20:42:36 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,searched for node,searched for node,Tue Aug 27 2019 20:43:05 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,searched for node,searched for node,Tue Aug 27 2019 20:46:10 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,submitted valid answer,submitted valid answer,Tue Aug 27 2019 20:48:04 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,searched for node,searched for node,Tue Aug 27 2019 20:48:23 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,submitted valid answer,submitted valid answer,Tue Aug 27 2019 20:48:58 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,searched for node,searched for node,Tue Aug 27 2019 20:49:12 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,submitted valid answer,submitted valid answer,Tue Aug 27 2019 20:49:44 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,searched for node,searched for node,Tue Aug 27 2019 20:50:32 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,searched for node,searched for node,Tue Aug 27 2019 20:50:40 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,searched for node,searched for node,Tue Aug 27 2019 20:50:41 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,submitted valid answer,submitted valid answer,Tue Aug 27 2019 20:51:13 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,submitted valid answer,submitted valid answer,Tue Aug 27 2019 20:51:58 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,submitted valid answer,submitted valid answer,Tue Aug 27 2019 20:52:42 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,submitted valid answer,submitted valid answer,Tue Aug 27 2019 20:53:58 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,searched for node,searched for node,Tue Aug 27 2019 20:54:29 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,submitted valid answer,submitted valid answer,Tue Aug 27 2019 20:56:53 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,searched for node,searched for node,Tue Aug 27 2019 20:57:15 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,submitted valid answer,submitted valid answer,Tue Aug 27 2019 20:57:30 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,searched for node,searched for node,Tue Aug 27 2019 20:57:42 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,submitted valid answer,submitted valid answer,Tue Aug 27 2019 20:58:05 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,searched for node,searched for node,Tue Aug 27 2019 20:58:16 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,submitted valid answer,submitted valid answer,Tue Aug 27 2019 20:58:25 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,searched for node,searched for node,Tue Aug 27 2019 20:58:36 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,searched for node,searched for node,Tue Aug 27 2019 20:58:41 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,submitted valid answer,submitted valid answer,Tue Aug 27 2019 20:59:27 GMT-0400 (Eastern Daylight Time),0
545d6768fdf99b7f9fca24e3,searched for node,searched for node,Tue Aug 27 2019 21:00:02 GMT-0400 (Eastern Daylight Time),0
